text,label
The prime minister announced a new economic policy today.,0
NASA confirms alien life was found on Mars.,1
The stock market hit a new high this week.,0
"Drinking coffee cures cancer, says unknown study.",1
Scientists successfully launched a new weather satellite.,0
Actor claims the Earth is flat during interview.,1
New law passed to increase minimum wage.,0
Facebook will start charging users for access.,1
Government introduces tax benefits for small businesses.,0
"Chocolate helps in reducing weight, research reveals.",1
